i;procs;n_obj;max_weight;max_value;total_time
1;1;100;12000;95600;0,00956798
2;1;100;12000;95600;0,0119829
3;1;100;12000;95600;0,00975299
4;1;100;12000;95600;0,00985003
5;1;100;12000;95600;0,00965214
6;1;100;12000;95600;0,0111229
7;1;100;12000;95600;0,00996614
8;1;100;12000;95600;0,0110869
9;1;100;12000;95600;0,00974917
10;1;100;12000;95600;0,010201
11;1;100;12000;95600;0,012671
12;1;100;12000;95600;0,012548
13;1;100;12000;95600;0,010772
14;1;100;12000;95600;0,00970793
15;1;100;12000;95600;0,00977683
16;1;100;12000;95600;0,010159
17;1;100;12000;95600;0,010859
18;1;100;12000;95600;0,00963783
19;1;100;12000;95600;0,0127099
20;1;100;12000;95600;0,0111909
