i;procs;n_obj;max_weight;max_value;total_time
1;2;4000;100000;4915135;2,95768
2;2;4000;100000;4915135;2,91525
3;2;4000;100000;4915135;2,90773
4;2;4000;100000;4915135;2,92634
5;2;4000;100000;4915135;2,92395
6;2;4000;100000;4915135;2,90811
7;2;4000;100000;4915135;2,90366
8;2;4000;100000;4915135;2,95695
9;2;4000;100000;4915135;2,92837
10;2;4000;100000;4915135;2,88912
11;2;4000;100000;4915135;2,90038
12;2;4000;100000;4915135;2,88563
13;2;4000;100000;4915135;2,91205
14;2;4000;100000;4915135;2,92178
15;2;4000;100000;4915135;2,91392
16;2;4000;100000;4915135;2,93923
17;2;4000;100000;4915135;2,93219
18;2;4000;100000;4915135;2,88623
19;2;4000;100000;4915135;2,88183
20;2;4000;100000;4915135;2,91737
