i;n_obj;max_weight;max_value;parallelizable_time;total_time
1;1600;12000;393225;0,150434;0,150903
2;1600;12000;393225;0,150913;0,151336
3;1600;12000;393225;0,146127;0,146626
4;1600;12000;393225;0,146883;0,147409
5;1600;12000;393225;0,146356;0,146856
6;1600;12000;393225;0,146527;0,147134
7;1600;12000;393225;0,144131;0,144762
8;1600;12000;393225;0,150856;0,151587
9;1600;12000;393225;0,145021;0,145576
10;1600;12000;393225;0,145224;0,145853
11;1600;12000;393225;0,15203;0,152531
12;1600;12000;393225;0,147553;0,148075
13;1600;12000;393225;0,155827;0,156449
14;1600;12000;393225;0,144234;0,144794
15;1600;12000;393225;0,145106;0,145575
16;1600;12000;393225;0,147182;0,147796
17;1600;12000;393225;0,15576;0,156347
18;1600;12000;393225;0,151094;0,151543
19;1600;12000;393225;0,152914;0,153434
20;1600;12000;393225;0,147082;0,147616
