i;n_obj;max_weight;max_value;parallelizable_time;total_time
1;2000;100000;3579205;1,5201;1,52069
2;2000;100000;3579205;1,53201;1,53275
3;2000;100000;3579205;1,63916;1,63977
4;2000;100000;3579205;1,56526;1,5658
5;2000;100000;3579205;1,48672;1,48751
6;2000;100000;3579205;1,50077;1,50145
7;2000;100000;3579205;1,5028;1,50343
8;2000;100000;3579205;1,49947;1,50025
9;2000;100000;3579205;1,4964;1,49709
10;2000;100000;3579205;1,50329;1,50393
11;2000;100000;3579205;1,51245;1,5132
12;2000;100000;3579205;1,51496;1,51559
13;2000;100000;3579205;1,47894;1,47953
14;2000;100000;3579205;1,48613;1,48683
15;2000;100000;3579205;1,47061;1,4714
16;2000;100000;3579205;1,47763;1,47841
17;2000;100000;3579205;1,48164;1,4824
18;2000;100000;3579205;1,50736;1,50817
19;2000;100000;3579205;1,49247;1,49323
20;2000;100000;3579205;1,49009;1,49097
