i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;4;400;160;2605;0,00312114;0,000283003;0,00283813
2;4;400;160;2605;0,00360203;0,00031209;0,00328994
3;4;400;160;2605;0,00340724;0,000310659;0,00309658
4;4;400;160;2605;0,00325775;0,000314474;0,00294328
5;4;400;160;2605;0,003021;0,000311136;0,00270987
6;4;400;160;2605;0,00313401;0,000281811;0,0028522
7;4;400;160;2605;0,00305367;0,000314236;0,00273943
8;4;400;160;2605;0,00334048;0,000305176;0,00303531
9;4;400;160;2605;0,00331974;0,000303268;0,00301647
10;4;400;160;2605;0,00317264;0,000306368;0,00286627
11;4;400;160;2605;0,00307941;0,000292063;0,00278735
12;4;400;160;2605;0,00312614;0,000308275;0,00281787
13;4;400;160;2605;0,0033195;0,000289202;0,0030303
14;4;400;160;2605;0,00304008;0,000285149;0,00275493
15;4;400;160;2605;0,00321507;0,000285864;0,00292921
16;4;400;160;2605;0,00331855;0,000305653;0,0030129
17;4;400;160;2605;0,00421715;0,000320673;0,00389647
18;4;400;160;2605;0,00299644;0,000277042;0,0027194
19;4;400;160;2605;0,00304627;0,000295401;0,00275087
20;4;400;160;2605;0,00315046;0,000289917;0,00286055
