i;n_obj;max_weight;max_value;seq_time
1;100;160;1655;3,8147e-06
2;100;160;1655;4,05312e-06
3;100;160;1655;4,05312e-06
4;100;160;1655;3,8147e-06
5;100;160;1655;4,05312e-06
6;100;160;1655;4,05312e-06
7;100;160;1655;4,05312e-06
8;100;160;1655;4,05312e-06
9;100;160;1655;4,05312e-06
10;100;160;1655;3,8147e-06
11;100;160;1655;3,8147e-06
12;100;160;1655;4,05312e-06
13;100;160;1655;4,05312e-06
14;100;160;1655;4,05312e-06
15;100;160;1655;4,05312e-06
16;100;160;1655;4,05312e-06
17;100;160;1655;5,00679e-06
18;100;160;1655;6,91414e-06
19;100;160;1655;4,05312e-06
20;100;160;1655;4,05312e-06
