i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;4;40000;400000;64439870;8,75414;2,8252;5,92895
2;4;40000;400000;64439870;8,76497;2,81096;5,95401
3;4;40000;400000;64439870;8,55606;2,80454;5,75152
4;4;40000;400000;64439870;8,82898;2,84067;5,98831
5;4;40000;400000;64439870;8,72962;2,81196;5,91766
6;4;40000;400000;64439870;8,62143;2,79888;5,82255
7;4;40000;400000;64439870;8,5562;2,77298;5,78322
8;4;40000;400000;64439870;8,75497;2,82724;5,92773
9;4;40000;400000;64439870;8,67064;2,80164;5,86899
10;4;40000;400000;64439870;8,63872;2,78765;5,85106
11;4;40000;400000;64439870;8,54698;2,79437;5,75261
12;4;40000;400000;64439870;8,75652;2,81856;5,93796
13;4;40000;400000;64439870;8,60877;2,78764;5,82113
14;4;40000;400000;64439870;8,65916;2,78424;5,87492
15;4;40000;400000;64439870;8,64961;2,8082;5,84142
16;4;40000;400000;64439870;8,67378;2,82915;5,84463
17;4;40000;400000;64439870;8,61645;2,77768;5,83876
18;4;40000;400000;64439870;8,75973;2,82101;5,93872
19;4;40000;400000;64439870;8,7345;2,80671;5,92779
20;4;40000;400000;64439870;8,64051;2,76467;5,87584
