i,n_obj,max_weight,max_value,time
1,160000,200000,66096855,4.68477
2,160000,200000,66096855,4.66664
3,160000,200000,66096855,4.65296
4,160000,200000,66096855,4.68422
5,160000,200000,66096855,4.74741
6,160000,200000,66096855,4.7333
7,160000,200000,66096855,4.70242
8,160000,200000,66096855,4.68689
9,160000,200000,66096855,4.82875
10,160000,200000,66096855,4.6557
11,160000,200000,66096855,4.66708
12,160000,200000,66096855,4.67005
13,160000,200000,66096855,4.63835
14,160000,200000,66096855,4.65955
15,160000,200000,66096855,4.6417
16,160000,200000,66096855,4.64897
17,160000,200000,66096855,4.64187
18,160000,200000,66096855,4.65257
19,160000,200000,66096855,4.623
20,160000,200000,66096855,4.68354
