i;n_obj;max_weight;max_value;seq_time
1;80000;800000;188973920;9,25218
2;80000;800000;188973920;9,14834
3;80000;800000;188973920;9,07512
4;80000;800000;188973920;9,08199
5;80000;800000;188973920;8,9788
6;80000;800000;188973920;8,983
7;80000;800000;188973920;9,0588
8;80000;800000;188973920;9,18268
9;80000;800000;188973920;9,06387
10;80000;800000;188973920;8,99123
11;80000;800000;188973920;9,08571
12;80000;800000;188973920;9,27276
13;80000;800000;188973920;9,25533
14;80000;800000;188973920;9,13246
15;80000;800000;188973920;9,22004
16;80000;800000;188973920;9,14664
17;80000;800000;188973920;9,10093
18;80000;800000;188973920;9,135
19;80000;800000;188973920;9,11965
20;80000;800000;188973920;9,11666
